Team;Pocet bodov, ktore Slavia dala;Pocet bodov, ktore dostala
BK Spisska Nova Ves;95;87
Iskra Svit;92;81
Patrioti Levice;60;85
BKM Lucenec;91;90
BC Prievidza;98;82
Inter Bratislava;74;97
MBK Banik Handlova;88;83
MBK Komarno;105;93
BK Spisska Nova Ves;82;94
Iskra Svit;85;94
Patrioti Levice;75;88
BKM Lucenec;81;98
BC Prievidza;77;92
Inter Bratislava;73;77
MBK Banik Handlova;97;89
MBK Komarno;77;72
BK Spisska Nova Ves;107;82
Iskra Svit;86;82
Patrioti Levice;80;87
BKM Lucenec;69;72
BC Prievidza;72;68
Inter Bratislava;77;75
MBK Banik Handlova;93;87
MBK Komarno;91;74
